Screaming Circuits SMD component position file.

Centroid Data for pc board: "Replicape.brd" as of: 7/24/13 4:58 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
3.3V,Top,3.221,1.403,0
5V,Top,2.891,2.195,0
12..24V,Top,3.222,1.298,0
12V,Top,1.745,1.845,0
C1,Top,1.232,0.650,0
C2,Top,1.133,0.650,0
C3,Top,1.687,0.646,0
C4,Top,1.590,0.646,0
C5,Top,2.155,0.647,0
C6,Top,2.067,0.646,0
C7,Top,2.567,0.650,0
C8,Top,2.480,0.650,0
C9,Top,3.030,0.651,0
C10,Top,2.943,0.651,0
C11,Top,3.772,0.652,0
C12,Top,0.843,0.524,90
C13,Top,3.348,2.050,180
C14,Top,1.035,2.571,0
C15,Top,1.409,2.575,0
C16,Top,1.797,2.585,0
C17,Top,1.094,2.064,0
C18,Top,3.161,0.989,90
C19,Top,3.105,0.981,90
C20,Top,0.538,1.562,90
C21,Top,0.485,1.561,90
C22,Top,0.543,0.900,90
C23,Top,0.475,0.897,90
C24,Top,0.558,2.235,90
C25,Top,0.505,2.234,90
C26,Top,1.034,2.471,180
C27,Top,1.315,0.745,270
C28,Top,2.706,1.002,90
C29,Top,2.658,0.985,90
C30,Top,1.375,1.004,90
C31,Top,1.317,0.996,90
C32,Top,1.820,0.991,90
C33,Top,1.773,0.991,90
C34,Top,2.283,0.994,90
C35,Top,2.235,0.986,90
C36,Top,2.628,1.469,0
C37,Top,3.075,1.470,0
C38,Top,1.776,0.748,270
C39,Top,2.205,1.469,0
C40,Top,1.748,1.467,0
C41,Top,1.297,1.452,0
C42,Top,2.233,0.736,270
C43,Top,2.655,0.722,270
C44,Top,3.102,0.741,270
C45,Top,1.409,2.474,180
C46,Top,1.797,2.494,180
C47,Top,2.935,1.819,90
C48,Top,2.844,1.819,90
C49,Top,2.931,2.000,270
C50,Top,2.844,2.000,270
C51,Top,3.239,1.866,90
C52,Top,1.492,2.091,180
C53,Top,1.659,1.819,90
C54,Top,1.797,2.177,180
C55,Top,1.622,2.181,0
C56,Top,1.918,2.102,0
C57,Top,0.689,2.358,90
C58,Top,0.701,1.732,90
C59,Top,0.693,1.035,90
D1,Top,0.860,1.167,270
D2,Top,0.864,1.506,90
D3,Top,0.898,2.337,180
D4,Top,1.209,1.894,270
JP1,Top,1.246,2.124,0
JP2,Top,3.751,0.878,0
L1,Top,3.120,2.094,270
L2,Top,1.453,1.890,270
LED1,Top,0.499,2.670,180
LED2,Top,0.501,2.041,180
LED3,Top,0.492,1.350,180
LED4,Top,3.758,1.694,270
LED5,Top,3.018,0.075,180
LED6,Top,3.555,0.075,180
LED7,Top,3.287,0.075,180
LED8,Top,0.628,0.087,180
Q1,Top,0.540,2.467,270
Q2,Top,0.547,1.820,270
Q3,Top,0.554,1.126,270
Q4,Top,2.583,1.780,0
Q5,Top,2.264,1.774,0
Q6,Top,1.957,1.770,0
R1,Top,1.100,1.134,270
R2,Top,1.197,1.134,270
R3,Top,1.656,1.138,270
R4,Top,1.543,1.138,270
R5,Top,2.014,1.136,270
R6,Top,2.124,1.144,270
R7,Top,2.463,1.140,270
R8,Top,2.541,1.138,270
R9,Top,2.880,1.138,270
R10,Top,2.984,1.138,270
R11,Top,3.654,1.694,180
R12,Top,1.211,1.453,0
R13,Top,1.043,2.679,90
R14,Top,0.558,2.670,90
R15,Top,0.543,1.346,270
R16,Top,0.556,2.045,270
R17,Top,1.415,2.677,90
R18,Top,1.797,2.679,90
R19,Top,3.016,0.189,90
R20,Top,3.559,0.201,90
R21,Top,3.287,0.193,90
R22,Top,3.735,2.158,0
R23,Top,3.736,2.107,0
R24,Top,3.737,2.056,0
R25,Top,0.908,2.133,90
R26,Top,0.955,2.134,90
R27,Top,1.002,2.134,90
R28,Top,0.855,2.134,90
R29,Top,0.802,2.133,90
R30,Top,1.050,2.135,90
R31,Top,0.693,1.909,270
R32,Top,0.697,1.220,270
R33,Top,2.543,1.469,0
R34,Top,2.986,1.470,0
R35,Top,1.661,1.467,0
R36,Top,2.118,1.469,0
R37,Top,0.685,2.543,270
R38,Top,1.035,2.526,0
R39,Top,1.409,2.528,0
R40,Top,1.797,2.539,0
R41,Top,3.104,1.720,180
R42,Top,1.961,2.051,180
R43,Top,1.882,2.023,270
R44,Top,2.017,2.102,0
R45,Top,0.565,0.083,270
R46,Top,0.535,1.484,0
R47,Top,0.526,0.827,0
R48,Top,0.530,2.154,0
S2,Top,3.516,1.861,90
U1,Top,1.152,1.329,0
U2,Top,1.604,1.341,0
U3,Top,2.063,1.341,0
U4,Top,2.486,1.343,0
U5,Top,2.933,1.343,0
U6,Top,3.108,1.858,0
U7,Top,0.665,2.181,270
U8,Top,0.661,1.520,270
U9,Top,0.654,0.866,270
U10,Top,1.728,2.079,270
U11,Top,0.947,1.850,0
U12,Top,3.577,0.740,270
U13,Top,1.142,0.866,90
U14,Top,1.594,0.866,90
U15,Top,2.063,0.862,90
U16,Top,2.488,0.866,90
U17,Top,2.929,0.862,90
U18,Top,3.548,2.134,180
