Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Replicape_A4A.brd" as of: 11/18/13 12:06 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
3.3V,Top,2.811,2.184,0
5V,Top,3.144,2.183,0
12..24V,Top,3.189,1.563,0
12V,Top,2.776,1.639,0
C1,Top,0.753,0.892,270
C2,Top,0.754,1.019,270
C3,Top,1.238,0.909,270
C4,Top,1.237,1.028,270
C5,Top,1.711,0.903,270
C6,Top,1.711,1.022,270
C7,Top,2.183,0.913,270
C8,Top,2.183,1.035,270
C9,Top,2.652,0.898,270
C10,Top,2.651,1.020,270
C11,Top,1.906,2.045,270
C12,Top,0.667,0.573,90
C13,Top,3.476,2.125,270
C14,Top,0.907,2.385,270
C15,Top,1.140,2.573,180
C16,Top,1.515,2.568,180
C17,Top,1.167,1.731,180
C18,Top,3.187,0.934,0
C19,Top,2.735,0.766,270
C20,Top,0.659,1.816,180
C21,Top,0.659,1.767,180
C22,Top,0.659,1.216,180
C23,Top,0.659,1.166,180
C24,Top,0.659,2.530,180
C25,Top,0.659,2.480,180
C26,Top,0.961,2.386,90
C27,Top,1.130,0.769,270
C28,Top,2.615,0.762,270
C29,Top,2.263,0.766,270
C30,Top,1.194,0.768,270
C31,Top,0.860,0.767,270
C32,Top,1.678,0.774,270
C33,Top,1.616,0.774,270
C34,Top,2.139,0.764,270
C35,Top,1.790,0.766,270
C36,Top,2.255,1.438,270
C37,Top,2.727,1.454,270
C38,Top,1.314,0.772,270
C39,Top,1.778,1.435,270
C40,Top,1.308,1.439,270
C41,Top,0.835,1.439,270
C42,Top,2.077,0.766,270
C43,Top,2.553,0.762,270
C44,Top,3.018,0.766,270
C45,Top,1.140,2.467,0
C46,Top,1.515,2.467,0
C47,Top,3.090,1.787,90
C48,Top,3.177,1.787,90
C49,Top,3.175,1.985,270
C50,Top,3.091,1.985,270
C51,Top,3.461,1.885,90
C52,Top,2.224,1.969,180
C53,Top,2.662,1.678,90
C54,Top,2.475,2.162,180
C55,Top,2.219,2.050,180
C56,Top,2.603,2.081,0
C57,Top,0.438,2.205,0
C58,Top,0.433,1.511,0
C59,Top,0.507,1.191,90
C60,Top,1.967,2.494,270
D1,Top,0.389,1.248,270
D2,Top,0.389,1.880,270
D3,Top,0.389,2.569,270
D4,Top,2.208,1.761,270
JP1,Top,0.895,2.184,0
JP2,Top,3.669,0.415,0
L1,Top,3.313,2.087,270
L2,Top,2.451,1.747,270
LED1,Top,0.438,2.146,90
LED2,Top,0.433,1.462,90
LED3,Top,0.453,0.901,90
LED4,Top,3.839,1.693,90
LED5,Top,3.129,0.186,0
LED6,Top,3.403,0.186,0
LED7,Top,3.671,0.186,0
LED8,Top,0.586,0.256,270
Q1,Top,0.453,1.639,180
Q2,Top,0.453,2.343,180
Q3,Top,0.453,1.029,180
Q4,Top,3.241,0.712,0
Q5,Top,3.519,0.712,0
Q6,Top,3.794,0.712,0
R1,Top,1.056,0.626,90
R2,Top,0.931,0.626,90
R3,Top,1.523,0.626,90
R4,Top,1.400,0.626,90
R5,Top,1.983,0.626,90
R6,Top,1.854,0.626,90
R7,Top,2.466,0.626,90
R8,Top,2.327,0.626,90
R9,Top,2.940,0.626,90
R10,Top,2.817,0.626,90
R11,Top,3.839,1.742,180
R12,Top,1.098,1.437,90
R13,Top,1.147,2.664,90
R14,Top,0.438,2.092,180
R15,Top,0.463,0.851,180
R16,Top,0.445,1.413,180
R17,Top,1.514,2.664,90
R18,Top,1.906,2.664,90
R19,Top,3.131,0.070,270
R20,Top,3.400,0.070,270
R21,Top,3.671,0.070,270
R22,Top,3.839,2.254,0
R23,Top,3.839,2.200,0
R24,Top,3.839,2.151,0
R25,Top,1.118,2.144,90
R26,Top,1.161,2.144,90
R27,Top,1.205,2.144,90
R28,Top,1.075,2.144,90
R29,Top,1.031,2.144,90
R30,Top,1.043,1.719,180
R31,Top,0.561,1.801,90
R32,Top,0.566,1.191,90
R33,Top,2.515,1.451,90
R34,Top,2.987,1.451,90
R35,Top,1.576,1.445,90
R36,Top,2.042,1.449,90
R37,Top,0.566,2.500,90
R38,Top,0.857,2.385,270
R39,Top,1.145,2.522,180
R40,Top,1.515,2.515,180
R41,Top,3.327,1.740,180
R42,Top,2.648,1.997,90
R43,Top,2.594,1.997,270
R44,Top,2.603,2.135,180
R45,Top,0.586,0.320,0
R46,Top,0.645,2.003,0
R47,Top,0.655,1.407,0
R48,Top,0.743,2.355,90
R49,Top,2.613,2.628,90
R50,Top,2.864,2.628,90
R51,Top,3.115,2.628,90
R52,Top,3.366,2.628,90
R53,Top,3.617,2.628,90
R54,Top,3.868,2.628,90
R55,Top,0.374,0.881,270
R56,Top,0.344,1.476,270
R57,Top,0.344,2.170,270
R58,Top,3.433,1.781,180
S2,Top,3.647,1.885,0
U1,Top,0.965,1.353,90
U2,Top,1.437,1.353,90
U3,Top,1.909,1.353,90
U4,Top,2.382,1.353,90
U5,Top,2.854,1.353,90
U6,Top,3.331,1.878,0
U7,Top,0.610,2.628,90
U8,Top,0.610,1.909,90
U9,Top,0.625,1.309,90
U10,Top,2.406,2.064,270
U11,Top,1.026,1.915,270
U12,Top,1.769,1.954,0
U13,Top,0.989,0.979,0
U14,Top,1.462,0.979,0
U15,Top,1.934,0.979,0
U16,Top,2.406,0.979,0
U17,Top,2.879,0.979,0
U18,Top,3.652,2.229,180
